sign_no,description,title,standard,council,legislation,reference,references2,notes,plan,image,pdf,local,slug
R6-7,Hand Stop Banner (Double Sided) (Not Used In NSW),R6-7 - Hand Stop Banner (Double Sided) (Not Used In NSW),Yes,Unavailable.,-,-,,Not used in NSW,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-7.gif?itok=Utqg9dso,,,r6-7-hand-stop-banner-double-sided-not-used-nsw
R6-235-8n,Bus Lane End (Superseded Use R7-1-1-8n),R6-235-8n - Bus Lane End (Superseded Use R7-1-1-8n),Yes,Unavailable.,-,-,,(Superseded Use R7-1-1-8n),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-235-8.gif?itok=MXMD9dzy,,,r6-235-8n-bus-lane-end-superseded-use-r7-1-1-8n
R7-1-6,Bus (other vehicle) Lane (Bicycle Illustrated) (Not Used in NSW),R7-1-6 Bus (other vehicle) Lane (Not Used in NSW),Yes,Unavailable.,-,,,Not Used in NSW,No design plan.,,,,r7-1-6-bus-other-vehicle-lane-not-used-nsw
R7-1-3,Truck (symbol) Lane (Not Used in NSW),R7-1-3 - Truck (symbol) Lane (Not Used in NSW),Yes,Unavailable.,-,-,,Refer to RMS Supplement for AS1742.12: RMS practice does not allow the use of Truck Lanes,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-1-3.gif?itok=bOLKPEwW,,,r7-1-3-truck-symbol-lane-not-used-nsw
R7-8,Bus (symbol) Only (Not Used In NSW),R7-8 Bus (symbol) Only (Not Used In NSW),Yes,Unavailable.,-,-,,NOT USED IN NSW,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-8.gif?itok=nAhsjhLd,,,r7-8-bus-symbol-only-not-used-nsw
r6-226,Ferry (No longer used),Ferry (No longer used),,Unavailable.,-,No longer used,,No longer used,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-226.gif?itok=0hljxcXK,,,ferry-no-longer-used
G9-350n,Trucks & Buses Must Enter Heavy Vehicle Checking Station,G9-350n - Trucks & Buses Must Enter Heavy Vehicle Checking Station (Open/Closed),No,Specific circumstances only. Contact Transport for NSW.,NA,Project specific,,-,No design plan.,,,,g9-350n-trucks-buses-must-enter-heavy-vehicle-checking
R5-57n,No Standing In Safety Ramp (Superseded - use R5-200n),R5-57n - No Standing In Safety Ramp (Superseded - use R5-200n),,Unavailable.,-,SUPERSEDED (Use R5-200n),,SUPERSEDED (Use R5-200n),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-57.gif?itok=qD4mBfia,,,r5-57n-no-standing-safety-ramp-superseded-use-r5-200n
r9-221-1 (superseded Use R9-10-1),Vehicles Over XXXt Gvm Only,R9-221-1 Vehicles Over XXXt Gvm Only (Superseded Use R9-10-1),-,Unavailable.,-,-,,-,,,,,r9-221-1-vehicles-over-xxxt-gvm-only-superseded-use-r9
,,Media Releases,,,,,,,,,,,r6-234-6n-buses-only-lane-24hrs-superseded-use-r7-8-6n
GM9-79(C),Speed Limit Ahead (Mms Insert - To Be used on Multi Message Sign panels Only),GM9-79(C) - Speed Limit Ahead (Mms Insert - To Be used on Multi Message Sign panels Only),No,Yes – available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,Speed Limit Ahead (Mms Insert - To Be used on Multi Message Sign panels Only) - gm9-79_c sign design plan Published 15 Jun 2023 PDF 92.02 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/gm9-79_c.gif?itok=xo9ntfBB,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/gm9-79_c.pdf,Original PDFs/gm9-79_c.pdf,gm9-79c-speed-limit-ahead-mms-insert-to-be-used-on
GM9-79(D),Speed Limit Ahead (Mms Insert - To be used on Multi Message Sign panels Only),GM9-79(D) - Speed Limit Ahead (Mms Insert - To be used on Multi Message Sign panels Only),Yes,Yes – available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Worksites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To be used on Multi Message Sign panels ONLY,Speed Limit Ahead (Mms Insert - To be used on Multi Message Sign panels Only) - gm9-79_d sign design plan Published 15 Jun 2023 PDF 89.03 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/gm9-79_d.gif?itok=8NFFU6q0,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/gm9-79_d.pdf,Original PDFs/gm9-79_d.pdf,gm9-79d-speed-limit-ahead-mms-insert-to-be-used-on
GM9-79(A),Speed Limit Ahead (Mms Insert - To Be used on Multi Message Sign panels Only),GM9-79(A) - Speed Limit Ahead (Mms Insert - To Be used on Multi Message Sign panels Only),No,Yes – available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,Speed Limit Ahead (Mms Insert - To Be used on Multi Message Sign panels Only) - gm9-79_a sign design plan Published 15 Jun 2023 PDF 90.11 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/gm9-79_a.gif?itok=baQ_quIM,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/gm9-79_a.pdf,Original PDFs/gm9-79_a.pdf,gm9-79a-speed-limit-ahead-mms-insert-to-be-used-on
GM9-79(B),Speed Limit Ahead (Mms Insert - To Be used on Multi Message Sign panels Only),GM9-79(B) - Speed Limit Ahead (Mms Insert - To Be used on Multi Message Sign panels Only),No,Yes – available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,Speed Limit Ahead (Mms Insert - To Be used on Multi Message Sign panels Only) - gm9-79_b sign design plan Published 15 Jun 2023 PDF 90.14 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/gm9-79_b.gif?itok=7jgH4CTM,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/gm9-79_b.pdf,Original PDFs/gm9-79_b.pdf,gm9-79b-speed-limit-ahead-mms-insert-to-be-used-on
GM9-89(B),No Lines Do Not Overtake (Mms Insert - To Be used on Multi Message Sign panels Only),GM9-89(B) - No Lines Do Not Overtake (Mms Insert - To Be used on Multi Message Sign panels Only),No,Yes – available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,No Lines Do Not Overtake (Mms Insert - To Be used on Multi Message Sign panels Only) - gm9-89_b sign design plan Published 15 Jun 2023 PDF 74.21 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/gm9-89_b.gif?itok=k7VpRxPC,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/gm9-89_b.pdf,Original PDFs/gm9-89_b.pdf,gm9-89b-no-lines-do-not-overtake-mms-insert-to-be-used
GM9-40-2(D),Local Traffic Only (Mms Insert - To Be used on Multi Message Sign panels Only),GM9-40-2(D) - Local Traffic Only (Mms Insert - To Be used on Multi Message Sign panels Only),No,Yes – available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,Local Traffic Only (Mms Insert - To Be used on Multi Message Sign panels Only) - gm9-40-2_d sign design plan Published 15 Jun 2023 PDF 72.98 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/gm9-40-2_d.gif?itok=_tVOvA71,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/gm9-40-2_d.pdf,Original PDFs/gm9-40-2_d.pdf,gm9-40-2d-local-traffic-only-mms-insert-to-be-used-on
GM9-40-2(B),Local Traffic Only (Mms Insert - To Be used on Multi Message Sign panels Only),GM9-40-2(B) - Local Traffic Only (Mms Insert - To Be used on Multi Message Sign panels Only),No,Yes – available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,Local Traffic Only (Mms Insert - To Be used on Multi Message Sign panels Only) - gm9-40-2_b sign design plan Published 15 Jun 2023 PDF 72.73 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/gm9-40-2_b.gif?itok=hCsVUQs6,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/gm9-40-2_b.pdf,Original PDFs/gm9-40-2_b.pdf,gm9-40-2b-local-traffic-only-mms-insert-to-be-used-on
GM9-40-2(A),Local Traffic Only (Mms Insert - To be used on Multi Message Sign panels Only),GM9-40-2(A) - Local Traffic Only (Mms Insert - To be used on Multi Message Sign panels Only),Yes,Yes – available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Worksites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To be used on Multi Message Sign panels ONLY,Local Traffic Only (Mms Insert - To be used on Multi Message Sign panels Only) - gm9-40-2_a sign design plan Published 15 Jun 2023 PDF 72.93 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/gm9-40-2_a.gif?itok=eoc0rf7Y,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/gm9-40-2_a.pdf,Original PDFs/gm9-40-2_a.pdf,gm9-40-2a-local-traffic-only-mms-insert-to-be-used-on
G9-88,Driving Instruction Direction (Multiple Directions Roundabout) (Example Only),G9-88 - Driving Instruction Direction (Multiple Directions Roundabout) (Example Only),Yes,Yes – available.,-,AS1742.15,,No design plan.,,,,,g9-88-driving-instruction-direction-multiple
G9-9n_VMS,Reduce Speed VMS Panel (Temporary Traffic Management Use Only),G9-9_VMS - Reduce Speed VMS Panel (Temporary Traffic Management Use Only),No,Yes – available.,NA,Traffic Control at Work Sites (Technical Manual) 6.9.1,,-,Reduce Speed Vms Panel (Temporary Traffic Management Use Only) sign design plan Published 15 Jun 2023 PDF 65.85 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-9n_vms.gif?itok=HhorOf9r,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-9n_vms.pdf,Original PDFs/g9-9n_vms.pdf,g9-9vms-reduce-speed-vms-panel-temporary-traffic
G9-83-1n,Long Steep Descent Next x(km) with Flashing Lights,G9-83-1n - Long Steep Descent Next x(km) with Flashing Lights,No,Yes – available.,NA,AS 1742.2 (Devices),,Requires approval from Centre for Road Safety & Director Advance Technical Services,Long Steep Descent Next x(km) with Flashing Lights sign design plan Published 15 Jun 2023 PDF 28.07 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-83-1n.gif?itok=oJ8KwAW3,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-83-1n.pdf,Original PDFs/g9-83-1n.pdf,g9-83-1n-long-steep-descent-next-xkm-flashing-lights
G9-87-2,Advance Vehicle Prohibition (Trucks) (Symbolic),G9-87-2 - Advance Vehicle Prohibition (Trucks) (Symbolic),Yes,Yes – available.,-,"AS1742.12 Bus, Transit, Tram and Truck Lanes",,-,Advanced Trucks Prohibited (Symbolic) sign design plan Published 15 Jun 2023 PDF 216.57 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-87-2.gif?itok=3fsnvxD5,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-87-2.pdf,Original PDFs/g9-87-2.pdf,g9-87-2-advance-vehicle-prohibition-trucks-symbolic
G9-87-1,Advance Vehicle Prohibition (Buses) (Symbolic),G9-87-1 - Advance Vehicle Prohibition (Buses) (Symbolic),Yes,Yes – available.,-,"AS1742.12 Bus, Transit, Tram and Truck Lanes",,-,Advanced Buses Prohibited (Symbolic) sign design plan Published 15 Jun 2023 PDF 217.78 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-87-1.gif?itok=ePcYaYDL,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-87-1.pdf,Original PDFs/g9-87-1.pdf,g9-87-1-advance-vehicle-prohibition-buses-symbolic
G9-82-1n,Steep Descent (with flashing lights),G9-82-1n - Steep Descent (with flashing lights),No,Yes – available.,NA,AS 1742.2 (Devices),,Requires approval from Centre for Road Safety & Director Advance Technical Services,Steep Descent (with flashing lights) sign design plan Published 15 Jun 2023 PDF 72.21 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-82-1n.gif?itok=5g3xYEkL,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-82-1n.pdf,Original PDFs/g9-82-1n.pdf,g9-82-1n-steep-descent-flashing-lights
G9-82-3n,Steep Descent (Narrow Version),G9-82-3n - Steep Descent (Narrow Version),No,Yes – available.,NA,AS 1742.2 (Devices),,-,Steep Descent (Narrow Version) sign design plan Published 15 Jun 2023 PDF 66.03 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-82-3n.gif?itok=e2nqO5bj,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-82-3n.pdf,Original PDFs/g9-82-3n.pdf,g9-82-3n-steep-descent-narrow-version
G9-85,After Roundabout,G9-85 - After Roundabout,Yes,Yes – available.,NA,AS1742.2 (DEVICES),,-,After Roundabout sign design plan Published 15 Jun 2023 PDF 189.22 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-85.gif?itok=LL1-EZr2,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-85.pdf,Original PDFs/g9-85.pdf,g9-85-after-roundabout
G9-84,After Signals,G9-84 - After Signals,Yes,Yes – available.,NA,AS1742.2 (DEVICES),,-,After Signals sign design plan Published 15 Jun 2023 PDF 182.82 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-84.gif?itok=CDxwzka6,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-84.pdf,Original PDFs/g9-84.pdf,g9-84-after-signals
G9-9,Reduce Speed,G9-9 - Reduce Speed,Yes,Yes – available.,NA,AS1742.2 (Devices),,-,Reduce Speed - g9-9 sign design plan Published 15 Jun 2023 PDF 177.95 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-9.gif?itok=NCwuas3h,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-9.pdf,Original PDFs/g9-9.pdf,g9-9-reduce-speed
